name,direction,porttype,ismultiple
ShellIn,In,Lib:Submodels.FlowPort,False
ShellOut,Out,Lib:Submodels.FlowPort,False
TubeIn,In,Lib:Submodels.FlowPort,False
TubeOut,Out,Lib:Submodels.FlowPort,False
