name,vartype,uom,specified,group,range,description
Mc[7],Metal_Mass,kg,True,Reactions ,"[0.001, 1000000.0]","Column catalyst mass, used for thermal inertia in dynamic mode"
Mc[8],Metal_Mass,kg,True,Reactions ,"[0.001, 1000000.0]","Column catalyst mass, used for thermal inertia in dynamic mode"
Mc[9],Metal_Mass,kg,True,Reactions ,"[0.001, 1000000.0]","Column catalyst mass, used for thermal inertia in dynamic mode"
Mc[10],Metal_Mass,kg,True,Reactions ,"[0.001, 1000000.0]","Column catalyst mass, used for thermal inertia in dynamic mode"
Mc[11],Metal_Mass,kg,True,Reactions ,"[0.001, 1000000.0]","Column catalyst mass, used for thermal inertia in dynamic mode"
Mc[12],Metal_Mass,kg,True,Reactions ,"[0.001, 1000000.0]","Column catalyst mass, used for thermal inertia in dynamic mode"
Mc[13],Metal_Mass,kg,True,Reactions ,"[0.001, 1000000.0]","Column catalyst mass, used for thermal inertia in dynamic mode"
Cpc[1],Mass_Heat_Capacity,kJ/kg-K,True,Reactions ,"[0.001, 1000000.0]","Column catalyst heat capacity, used  for thermal inertia in dynamic mode"
Cpc[2],Mass_Heat_Capacity,kJ/kg-K,True,Reactions ,"[0.001, 1000000.0]","Column catalyst heat capacity, used  for thermal inertia in dynamic mode"
Cpc[3],Mass_Heat_Capacity,kJ/kg-K,True,Reactions ,"[0.001, 1000000.0]","Column catalyst heat capacity, used  for thermal inertia in dynamic mode"
Cpc[4],Mass_Heat_Capacity,kJ/kg-K,True,Reactions ,"[0.001, 1000000.0]","Column catalyst heat capacity, used  for thermal inertia in dynamic mode"
Cpc[5],Mass_Heat_Capacity,kJ/kg-K,True,Reactions ,"[0.001, 1000000.0]","Column catalyst heat capacity, used  for thermal inertia in dynamic mode"
Cpc[6],Mass_Heat_Capacity,kJ/kg-K,True,Reactions ,"[0.001, 1000000.0]","Column catalyst heat capacity, used  for thermal inertia in dynamic mode"
Cpc[7],Mass_Heat_Capacity,kJ/kg-K,True,Reactions ,"[0.001, 1000000.0]","Column catalyst heat capacity, used  for thermal inertia in dynamic mode"
Cpc[8],Mass_Heat_Capacity,kJ/kg-K,True,Reactions ,"[0.001, 1000000.0]","Column catalyst heat capacity, used  for thermal inertia in dynamic mode"
Cpc[9],Mass_Heat_Capacity,kJ/kg-K,True,Reactions ,"[0.001, 1000000.0]","Column catalyst heat capacity, used  for thermal inertia in dynamic mode"
Cpc[10],Mass_Heat_Capacity,kJ/kg-K,True,Reactions ,"[0.001, 1000000.0]","Column catalyst heat capacity, used  for thermal inertia in dynamic mode"
Cpc[11],Mass_Heat_Capacity,kJ/kg-K,True,Reactions ,"[0.001, 1000000.0]","Column catalyst heat capacity, used  for thermal inertia in dynamic mode"
Cpc[12],Mass_Heat_Capacity,kJ/kg-K,True,Reactions ,"[0.001, 1000000.0]","Column catalyst heat capacity, used  for thermal inertia in dynamic mode"
Cpc[13],Mass_Heat_Capacity,kJ/kg-K,True,Reactions ,"[0.001, 1000000.0]","Column catalyst heat capacity, used  for thermal inertia in dynamic mode"
